[INFO] [launch]: All log files can be found below /home/chsjh/.ros/log/2026-09-07-16-37-36-857563-PA12-18541
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [turtlesim_node-1]: process started with pid [18549]
[INFO] [distance_publisher-2]: process started with pid [18551]
[INFO] [warn_subscriber-3]: process started with pid [18553]
[INFO] [draw_polygon_server-4]: process started with pid [18555]
[turtlesim_node-1] [INFO] [1788766657.217137999] [turtlesim]: Starting turtlesim with node name /turtlesim
[warn_subscriber-3] [WARN] [1788766659.690912855] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.789590315] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.890175877] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766659.989712917] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.091581718] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.202020622] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.292919800] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.390609914] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.490659447] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.590485036] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.690386260] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.793227396] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.892710455] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766660.993007141] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.091017348] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.191092969] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.291462003] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.390280900] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.491521598] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.594565423] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.691461240] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.791945132] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.891023109] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766661.989747799] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.090457642] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.190875785] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.289962029] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.390195115] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.492588696] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.594758209] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.693858072] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.791728074] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.890511957] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766662.990264855] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.091796462] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.193412846] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.292375630] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.391773098] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.491121778] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.592908713] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.690273827] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.791615727] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.890153040] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766663.989665485] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.092505204] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.191242765] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.292098050] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.390683968] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.491250248] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.591020523] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.694204284] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.790599462] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.893091853] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766664.994409007] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.090687761] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.191792116] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.290507980] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.392931188] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.489424387] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.593661561] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.693306513] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.791641988] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.890198829] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766665.990203692] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.092594266] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.189794949] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.291187826] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.390813891] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.492097241] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.592452108] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.690093529] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.791578128] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.893826953] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766666.990594818] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.090260788] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.190565601] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.291376112] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.391221821] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.490480491] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.590542430] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.693700859] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.791476869] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.889968463] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766667.991970981] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.095315893] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.194511142] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.293225836] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.393095134] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.492186473] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.592525967] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.692284475] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.791653074] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.892321743] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766668.992642003] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.094292292] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.191736787] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.291048761] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.391299357] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.489724317] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.591429030] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.693437230] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.792318844] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.891827948] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766669.990395600] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.091645283] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.191594940] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.290611818] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.392802589] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.492785324] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.591042272] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.690292769] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.790250915] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.890375494] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766670.992978525] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.090587887] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.190995373] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.292043710] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.392009564] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.491052810] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.590529313] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.691378150] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.790896022] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.889765562] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766671.990547201] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.092599596] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.196594934] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.290761627] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.391183818] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.490821460] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.589600052] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.689810819] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.790349535] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.891960405] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766672.992501608] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.090472115] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.192658252] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.290001021] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.395119423] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.491698892] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.593128952] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.693613438] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.794252584] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.890872955] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766673.992134507] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.091983988] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.190548144] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.289768883] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.389810316] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.494774034] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.592276058] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.690296732] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.790686650] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.889939893] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766674.992012849] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.090407124] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.190422617] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.293122988] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.393968941] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.493044167] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[warn_subscriber-3] [WARN] [1788766675.591012655] [warn_subscriber]: distance warning: 7.841 m > 1.000 m
[turtlesim_node-1] [INFO] [1788766675.613879728] [rclcpp]: signal_handler(SIGINT/SIGTERM)
[INFO] [turtlesim_node-1]: process has finished cleanly [pid 18549]
[INFO] [warn_subscriber-3]: process has finished cleanly [pid 18553]
[INFO] [distance_publisher-2]: process has finished cleanly [pid 18551]
[INFO] [draw_polygon_server-4]: process has finished cleanly [pid 18555]
